filme,data_lancamento,Duração do Filme,numero_avaliacoes,avaliacao
146. O Labirinto do Fauno,2006,1h 58m,"714,000","8,2"
147. Onde os Fracos Não Têm Vez,2007,2h 2m,"1,100,000","8,2"
148. Os Imperdoáveis,1992,2h 10m,"444,000","8,2"
149. O Enigma de Outro Mundo,1982,1h 49m,"483,000","8,2"
150. Uma Mente Brilhante,2001,2h 15m,"1,000,000","8,2"
151. Kill Bill: Volume 1,2003,1h 51m,"1,200,000","8,2"
152. Robô Selvagem,2024,1h 42m,"74,000","8,3"
153. O Tesouro da Sierra Madre,1948,2h 6m,"135,000","8,2"
"154. Yojimbo, o Guarda-Costas",1961,1h 50m,"134,000","8,2"
155. Fugindo do Inferno,1963,2h 52m,"263,000","8,2"
156. Os Suspeitos,2013,2h 33m,"840,000","8,2"
157. Procurando Nemo,2003,1h 40m,"1,100,000","8,2"
158. Monty Python em Busca do Cálice Sagrado,1975,1h 31m,"579,000","8,2"
159. O Castelo Animado,2004,1h 59m,"466,000","8,2"
160. O Homem Elefante,1980,2h 4m,"264,000","8,2"
161. Rashomon,1950,1h 28m,"185,000","8,2"
162. Disque M para Matar,1954,1h 45m,"193,000","8,2"
163. ...E o Vento Levou,1939,3h 58m,"340,000","8,2"
164. Chinatown,1974,2h 10m,"358,000","8,1"
165. O Segredo dos Seus Olhos,2009,2h 9m,"227,000","8,2"
"166. Jogos, Trapaças e Dois Canos Fumegantes",1998,1h 47m,"626,000","8,1"
167. Divertida Mente,2015,1h 35m,"839,000","8,1"
168. V de Vingança,2005,2h 12m,"1,200,000","8,1"
169. Três Anúncios para um Crime,2017,1h 55m,"568,000","8,1"
170. Touro Indomável,1980,2h 9m,"387,000","8,1"
171. Klaus,2019,1h 36m,"197,000","8,2"
172. Trainspotting: Sem Limites,1996,1h 33m,"738,000","8,1"
173. A Ponte do Rio Kwai,1957,2h 41m,"237,000","8,1"
174. Prenda-Me se for Capaz,2002,2h 21m,"1,100,000","8,1"
175. Fargo: Uma Comédia de Erros,1996,1h 38m,"740,000","8,1"
176. Guerreiro,2011,2h 20m,"506,000","8,1"
177. Homem-Aranha: Sem Volta para Casa,2021,2h 28m,"915,000","8,2"
178. Gran Torino,2008,1h 56m,"827,000","8,1"
179. Harry Potter e as Relíquias da Morte - Parte 2,2011,2h 10m,"971,000","8,1"
180. Menina de Ouro,2004,2h 12m,"733,000","8,1"
181. Meu Amigo Totoro,1988,1h 26m,"394,000","8,1"
182. Mad Max: Estrada da Fúria,2015,2h,"1,100,000","8,1"
183. Ben-Hur,1959,3h 32m,"258,000","8,1"
184. Filhos do Paraíso,1997,1h 29m,"83,000","8,2"
185. Barry Lyndon,1975,3h 5m,"188,000","8,1"
186. 12 Anos de Escravidão,2013,2h 14m,"753,000","8,1"
187. Antes do Amanhecer,1995,1h 41m,"349,000","8,1"
188. Blade Runner - O Caçador de Androides,1982,1h 57m,"838,000","8,1"
189. O Grande Hotel Budapeste,2014,1h 39m,"906,000","8,1"
190. Até o Último Homem,2016,2h 19m,"616,000","8,1"
191. Garota Exemplar,2014,2h 29m,"1,100,000","8,1"
192. Sociedade dos Poetas Mortos,1989,2h 8m,"568,000","8,1"
193. Memórias de um Assassino,2003,2h 11m,"227,000","8,1"
194. Em Nome do Pai,1993,2h 13m,"192,000","8,1"
195. Em Busca do Ouro,1925,1h 35m,"121,000","8,1"
196. O Mistério da Lixeira,2024,2h 21m,"53,000","8,5"
197. Monstros S.A.,2001,1h 32m,"1,000,000","8,1"
198. Relatos Selvagens,2014,2h 2m,"222,000","8,1"
199. Ratatouille,2007,1h 51m,"856,000","8,1"
200. O Franco Atirador,1978,3h 3m,"369,000","8,1"
